_source_file,Código,Producto,P. Costo,P. Venta,P. Mayoreo,Departamento,Existencia,Inv. Mínimo,Inv. Máximo,Tipo de Venta,Proveedor,IVA,IEPS
CarnesFrias.xlsx,7501642304004,Queso Para Nachos Sello Dorado 1kg,$31.90,$42.00,$0.00,Carnes Frias,19,1,1,UNIDAD,,,
CarnesFrias.xlsx,7503010043010,Pozole Nixtamalizado 900g,$16.50,$23.00,$0.00,Carnes Frias,11,0,0,UNIDAD,,,
Carniceria.xlsx,1002,Pastor,$100.00,$140.00,$110.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1003,Alitas Adobadas/Naturales,$68.00,$130.00,$75.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1016,Carne Para Hamburguesa,$52.00,$70.00,$0.00,Carniceria,-,-,-,UNIDAD,,,
Carniceria.xlsx,1017,Cocido Mixto,$116.00,$160.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1035,Chuleta Ahumada,$94.00,$150.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1036,Chuleta De Puerco Adobada,$68.84,$100.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1037,Chuleta De Res,$138.00,$180.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1039,Colita De Pavo,$170.00,$200.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1052,Nuggets Y Tender,$100.00,$150.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1056,Deshebrada Cocida,$180.00,$220.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1057,Discada,$90.00,$120.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1059,Menudo,$90.00,$130.00,$0.00,Carniceria,-,-,-,UNIDAD,,,
Carniceria.xlsx,1067,Filete De Pescado Tilapia,$71.93,$100.00,$0.00,Carniceria,4.651,0,0,GRANEL,,,
Carniceria.xlsx,1069,Higado,$60.00,$80.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1078,Molida,$95.00,$130.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1080,Boneles Buf Nat,$175.00,$210.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1084,Camaron Crudo Mediano,$199.90,$240.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1085,Pechuga De Pollo Natural,$120.00,$145.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1088,Pollo,$25.00,$40.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1089,Carne De Puerco,$85.00,$110.00,$100.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1090,Pulpa Picada O Rebanada,$105.00,$160.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1105,Espinazo De Puerco,$40.00,$50.00,$0.00,Carniceria,-,-,-,UNIDAD,,,
Carniceria.xlsx,1153,Chicharron Prensado,$0.00,$180.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1271,Aserrin,$0.00,$10.00,$0.00,Carniceria,20.002,0,0,UNIDAD,,,
Carniceria.xlsx,1283,Trozitos De Pollo Empanizado,$60.00,$80.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1284,Dedos De Pollo,$60.00,$80.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1382,Pescado P/Caldo,$0.00,$50.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1879,Manita De Puerco,$50.00,$58.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1890,Pechuga Empanizada,$35.00,$65.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,1898,Fajita De Pollo,$75.00,$145.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,2000,Puerco En Trozo Con Hueso,$40.00,$50.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,2309,Costilla BBQ En Bolsa,$85.00,$100.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Carniceria.xlsx,2396,Aros De Cebolla,$110.00,$150.00,$0.00,Carniceria,-,-,-,GRANEL,,,
Verdura.xlsx,1001,Aguacate,$43.00,$80.00,$0.00,Verdura,1721.500,0,0,GRANEL,,,
Verdura.xlsx,1005,Apio,$38.00,$50.00,$0.00,Verdura,2.980,0,0,GRANEL,,,
Verdura.xlsx,1006,Jengibre,$120.00,$180.00,$0.00,Verdura,-,-,-,GRANEL,,,
Verdura.xlsx,1014,Ajo,$77.00,$160.00,$0.00,Verdura,8.636,0,0,GRANEL,,,
Verdura.xlsx,1015,Calabaza,$31.00,$45.00,$0.00,Verdura,14.148,0,0,GRANEL,,,
Verdura.xlsx,1019,Cebolla,$11.00,$20.00,$0.00,Verdura,182.295,0,0,GRANEL,,,
Verdura.xlsx,1022,Chile Habanero,$80.00,$150.00,$0.00,Verdura,9.861,0,0,GRANEL,,,
Verdura.xlsx,1024,Chile California,$44.00,$60.00,$0.00,Verdura,-,-,-,GRANEL,,,
Verdura.xlsx,1028,Chile Jalapeño,$23.00,$40.00,$0.00,Verdura,7.330,0,0,GRANEL,,,
Verdura.xlsx,1032,Chile Serrano,$26.00,$40.00,$0.00,Verdura,8.400,0,0,GRANEL,,,
Verdura.xlsx,1038,Cilantro,$119.26,$200.00,$0.00,Verdura,109.444,0,0,GRANEL,,,
Verdura.xlsx,1073,Lechuga,$17.80,$28.00,$0.00,Verdura,1,0,0,UNIDAD,,,
Verdura.xlsx,1074,Limon,$36.00,$54.00,$0.00,Verdura,6.455,0,0,GRANEL,,,
Verdura.xlsx,1075,Manzana,$40.00,$60.00,$0.00,Verdura,131.477,0,0,GRANEL,,,
Verdura.xlsx,1079,Naranja,$32.00,$48.00,$0.00,Verdura,192.935,0,0,GRANEL,,,
Verdura.xlsx,1082,Papa,$12.44,$20.00,$0.00,Verdura,1879.515,0,0,GRANEL,,,
Verdura.xlsx,1086,Pepino,$19.00,$36.00,$0.00,Verdura,14.991,0,0,GRANEL,,,
Verdura.xlsx,1087,Platano,$22.00,$33.00,$0.00,Verdura,15.161,0,0,GRANEL,,,
Verdura.xlsx,1093,Repollo,$11.30,$22.00,$0.00,Verdura,1688.771,0,0,GRANEL,,,
Verdura.xlsx,1099,Tomate,$34.00,$45.00,$0.00,Verdura,1568.691,0,0,GRANEL,,,
Verdura.xlsx,1100,Tomatillo,$32.00,$48.00,$0.00,Verdura,96.890,0,0,GRANEL,,,
Verdura.xlsx,1103,Zanahoria,$16.00,$28.00,$0.00,Verdura,86.499,0,0,GRANEL,,,
Verdura.xlsx,1154,Pera,$40.00,$65.00,$0.00,Verdura,156.960,0,0,GRANEL,,,
Verdura.xlsx,1216,Mango,$33.00,$50.00,$0.00,Verdura,-,-,-,GRANEL,,,
Verdura.xlsx,1261,Rabano,$28.00,$38.00,$0.00,Verdura,-,-,-,GRANEL,,,
Verdura.xlsx,1262,Mandarina,$58.00,$80.00,$0.00,Verdura,-,-,-,GRANEL,,,
Verdura.xlsx,1301,Durazno,$28.00,$40.00,$0.00,Verdura,-,-,-,GRANEL,,,
Verdura.xlsx,1303,Cebolla Morada,$23.00,$30.00,$0.00,Verdura,-,-,-,GRANEL,,,
Verdura.xlsx,1328,Jicama,$8.30,$16.00,$0.00,Verdura,-,-,-,GRANEL,,,
Verdura.xlsx,1341,Nopales,$17.00,$20.00,$0.00,Verdura,9,0,0,UNIDAD,,,
Verdura.xlsx,1887,Chile Poblano,$68.00,$80.00,$0.00,Verdura,-,-,-,GRANEL,,,
Verdura.xlsx,2399,Piña,$23.50,$35.00,$0.00,Verdura,10,0,0,GRANEL,,,
